TXmedCounty_ListPrice_2016_2017$Date,TXmedCounty_ListPrice_2016_2017$DC,totals
2016-01,1,263494.8181818182
2016-01,10,138700
2016-01,2,193950
2016-01,3,225845.07142857142
2016-01,4,179317.3125
2016-01,5,197501.73529411765
2016-01,6,166771.5294117647
2016-01,7B,175760
2016-01,7C,197200
2016-01,8,162050
2016-01,8A,165050
2016-01,9,204136.83333333334
2016-02,1,262088.79545454544
2016-02,10,142212.5
2016-02,2,190950
2016-02,3,221024.2380952381
2016-02,4,183404.0625
2016-02,5,201468.23529411765
2016-02,6,167229.38235294117
2016-02,7B,180402.33333333334
2016-02,7C,168250
2016-02,8,162175
2016-02,8A,166012.5
2016-02,9,205706.66666666666
2016-03,1,263105.7272727273
2016-03,10,141175
2016-03,2,183100
2016-03,3,230054.95454545456
2016-03,4,186762.5
2016-03,5,206990.82352941178
2016-03,6,167974.5588235294
2016-03,7B,179911.11111111112
2016-03,7C,167975
2016-03,8,167074.83333333334
2016-03,8A,166650
2016-03,9,202368.33333333334
2016-04,1,269341.9347826087
2016-04,10,150375
2016-04,2,190300
2016-04,3,233130.26086956522
2016-04,4,189664.8125
2016-04,5,208201.32352941178
2016-04,6,166910.29411764705
2016-04,7B,167764.95
2016-04,7C,173325
2016-04,8,168366.66666666666
2016-04,8A,165656.25
2016-04,9,210492.33333333334
2016-05,1,274198.95652173914
2016-05,10,147525
2016-05,2,190000
2016-05,3,233898.0625
2016-05,4,193781.125
2016-05,5,213355.4411764706
2016-05,6,169150.73529411765
2016-05,7B,171589.35
2016-05,7C,168250
2016-05,8,167766.66666666666
2016-05,8A,167856.25
2016-05,9,222063.91666666666
2016-06,1,274321.26086956525
2016-06,10,148699.875
2016-06,2,203462.5
2016-06,3,233658.60416666666
2016-06,4,184582.72222222222
2016-06,5,214419.70588235295
2016-06,6,168711.76470588235
2016-06,7B,170828.85
2016-06,7C,162000
2016-06,8,164387.5
2016-06,8A,167175
2016-06,9,219529.16666666666
2016-07,1,274313.3695652174
2016-07,10,145950
2016-07,2,197300
2016-07,3,232348.52083333334
2016-07,4,183705.5
2016-07,5,215533.0588235294
2016-07,6,171665.58823529413
2016-07,7B,170439
2016-07,7C,158575
2016-07,8,163791.66666666666
2016-07,8A,164512.5
2016-07,9,227459.66666666666
2016-08,1,274596.60869565216
2016-08,10,145512.5
2016-08,2,196850
2016-08,3,233836.35416666666
2016-08,4,184016.11111111112
2016-08,5,214020.29411764705
2016-08,6,173409.9411764706
2016-08,7B,168282.5
2016-08,7C,158175
2016-08,8,161495
2016-08,8A,168000
2016-08,9,227366.66666666666
2016-09,1,273784
2016-09,10,145887.5
2016-09,2,193262.5
2016-09,3,234982.6875
2016-09,4,183404.38888888888
2016-09,5,214611.4705882353
2016-09,6,171838.0588235294
2016-09,7B,169884
2016-09,7C,160000
2016-09,8,162475
2016-09,8A,165890
2016-09,9,228858.33333333334
2016-10,1,276895.5
2016-10,10,142850
2016-10,2,192400
2016-10,3,237604.70833333334
2016-10,4,181359.44444444444
2016-10,5,216176.58823529413
2016-10,6,171467.64705882352
2016-10,7B,170266.5
2016-10,7C,159900
2016-10,8,159890
2016-10,8A,168940
2016-10,9,234708.33333333334
2016-11,1,277175.6304347826
2016-11,10,138596.25
2016-11,2,192412.5
2016-11,3,237122.08333333334
2016-11,4,178755.55555555556
2016-11,5,215784.91176470587
2016-11,6,171022.35294117648
2016-11,7B,172239
2016-11,7C,156500
2016-11,8,160045.83333333334
2016-11,8A,167240
2016-11,9,234375
2016-12,1,281491.9347826087
2016-12,10,142781.25
2016-12,2,193975
2016-12,3,237264.89583333334
2016-12,4,180888.33333333334
2016-12,5,215621.08823529413
2016-12,6,173430.5
2016-12,7B,176455
2016-12,7C,156000
2016-12,8,157558.33333333334
2016-12,8A,168530
2016-12,9,232400
2017-01,1,283281.9130434783
2017-01,10,139196.25
2017-01,2,187200
2017-01,3,240201.29166666666
2017-01,4,181329.11111111112
2017-01,5,215998.88888888888
2017-01,6,169792.17647058822
2017-01,7B,173323
2017-01,7C,153200
2017-01,8,159933.33333333334
2017-01,8A,170750
2017-01,9,230648.08333333334
2017-02,1,288484.39130434784
2017-02,10,139725
2017-02,2,185420.75
2017-02,3,240693.16666666666
2017-02,4,182236.11111111112
2017-02,5,216856.66666666666
2017-02,6,170312.85294117648
2017-02,7B,192479.86363636365
2017-02,7C,159575
2017-02,8,160233.33333333334
2017-02,8A,168949
2017-02,9,228250
2017-03,1,291464.89130434784
2017-03,10,144712.5
2017-03,2,187087.5
2017-03,3,240357.95833333334
2017-03,4,179840
2017-03,5,217185.6052631579
2017-03,6,170312.23529411765
2017-03,7B,194870.31818181818
2017-03,7C,171450
2017-03,8,160354.16666666666
2017-03,8A,169060
2017-03,9,226787.5
2017-04,1,296517.9130434783
2017-04,10,146137.5
2017-04,2,188075
2017-04,3,244885.97916666666
2017-04,4,181487.5
2017-04,5,222203.36842105264
2017-04,6,173094.11764705883
2017-04,7B,198526.81818181818
2017-04,7C,177450
2017-04,8,165895.75
2017-04,8A,167510
2017-04,9,234041.25
2017-05,1,295685.5652173913
2017-05,10,148937.5
2017-05,2,195950
2017-05,3,245207.5
2017-05,4,180548.2
2017-05,5,225754.26315789475
2017-05,6,174733.4411764706
2017-05,7B,201350
2017-05,7C,182350
2017-05,8,167000
2017-05,8A,169730
2017-05,9,232716.66666666666
2017-06,1,295664.0652173913
2017-06,10,148054.625
2017-06,2,206125.5
2017-06,3,247156.5
2017-06,4,180469
2017-06,5,224146.52631578947
2017-06,6,173676.4705882353
2017-06,7B,203046.04545454544
2017-06,7C,182500
2017-06,8,168450
2017-06,8A,159255
2017-06,9,233831.5
2017-07,1,295104.02173913043
2017-07,10,149872.25
2017-07,2,200260
2017-07,3,247078.79166666666
2017-07,4,182200
2017-07,5,224687.13157894736
2017-07,6,174952.17647058822
2017-07,7B,202498.36363636365
2017-07,7C,177450
2017-07,8,168875
2017-07,8A,160370
2017-07,9,230166.66666666666
2017-08,1,295850.9130434783
2017-08,10,148740
2017-08,2,196989
2017-08,3,247891.45833333334
2017-08,4,182445
2017-08,5,224189.42105263157
2017-08,6,173108.91176470587
2017-08,7B,200928.54545454544
2017-08,7C,172250
2017-08,8,168636.66666666666
2017-08,8A,160525.9
2017-08,9,237390
2017-09,1,294740.32608695654
2017-09,10,148062.5
2017-09,2,197339
2017-09,3,247184.02083333334
2017-09,4,183759.5
2017-09,5,224172.13157894736
2017-09,6,174231.76470588235
2017-09,7B,196980.9090909091
2017-09,7C,170450
2017-09,8,168362.33333333334
2017-09,8A,160370
2017-09,9,233859.66666666666
2017-10,1,295652.0652173913
2017-10,10,148915
2017-10,2,192219
2017-10,3,245880.41666666666
2017-10,4,184159
2017-10,5,223336.65789473685
2017-10,6,174838.23529411765
2017-10,7B,197274.42307692306
2017-10,7C,179300
2017-10,8,167150
2017-10,8A,163480
2017-10,9,240048.66666666666
2017-11,1,292702.5652173913
2017-11,10,144658.75
2017-11,2,192640
2017-11,3,241157.38
2017-11,4,183370.7
2017-11,5,224832.68421052632
2017-11,6,176469.73529411765
2017-11,7B,198632
2017-11,7C,177075
2017-11,8,169529
2017-11,8A,166550
2017-11,9,239831.66666666666
2017-12,1,295315.39130434784
2017-12,10,143900
2017-12,2,197530
2017-12,3,244494.9
2017-12,4,182600
2017-12,5,222770.1052631579
2017-12,6,175439.82352941178
2017-12,7B,197607.3076923077
2017-12,7C,178325
2017-12,8,170876.5
2017-12,8A,160310
2017-12,9,240712.66666666666
